team,landscape,strategy,labor_hours,starting_pos,seed,time,pos,fitness
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,0,"[-100, -100]",-20000
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,1,"[-100, -100]",-20000
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,2,"[-100, -100]",-20000
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,3,"[-102, -95]",-19429
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,4,"[-99, -93]",-18450
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,5,"[-97, -92]",-17873
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,6,"[-93, -94]",-17485
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,7,"[-93, -94]",-17485
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,8,"[-93, -94]",-17485
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,9,"[-93, -94]",-17485
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,10,"[-93, -90]",-16749
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,11,"[-93, -90]",-16749
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,12,"[-91, -91]",-16562
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,13,"[-91, -91]",-16562
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,14,"[-91, -91]",-16562
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,15,"[-92, -87]",-16033
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,16,"[-92, -87]",-16033
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,17,"[-89, -82]",-14645
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,18,"[-88, -77]",-13673
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,19,"[-88, -77]",-13673
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,20,"[-88, -77]",-13673
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,21,"[-85, -79]",-13466
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,22,"[-85, -79]",-13466
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,23,"[-85, -79]",-13466
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,24,"[-88, -75]",-13369
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,25,"[-88, -75]",-13369
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,26,"[-85, -71]",-12266
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,27,"[-85, -71]",-12266
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,28,"[-80, -72]",-11584
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,29,"[-79, -70]",-11141
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,30,"[-79, -70]",-11141
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,31,"[-79, -70]",-11141
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,32,"[-79, -70]",-11141
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,33,"[-76, -66]",-10132
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,34,"[-76, -66]",-10132
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,35,"[-71, -71]",-10082
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,36,"[-67, -73]",-9818
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,37,"[-67, -69]",-9250
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,38,"[-67, -69]",-9250
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,39,"[-64, -64]",-8192
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,40,"[-64, -64]",-8192
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,41,"[-67, -60]",-8089
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,42,"[-65, -59]",-7706
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,43,"[-65, -59]",-7706
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,44,"[-65, -59]",-7706
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,45,"[-65, -59]",-7706
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,46,"[-62, -56]",-6980
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,47,"[-62, -56]",-6980
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,48,"[-63, -53]",-6778
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,49,"[-63, -53]",-6778
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,50,"[-61, -52]",-6425
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,51,"[-59, -49]",-5882
"{""name"": ""identical"", ""players"": [{""vision_y"": 5, ""vision_x"": 5}, {""vision_y"": 5, ""vision_x"": 5}]}",SimpleHill,diachronic,50,"(-100, -100)",0,52,"[-56, -51]",-5737
